reference_time,target_time,kind,covariate_source,issued_at,model_id,code_version,wassertemp_q0.01,wassertemp_q0.05,wassertemp_q0.25,wassertemp_q0.5,wassertemp_q0.75,wassertemp_q0.95,wassertemp_q0.99,airtemp_96_q0.01,airtemp_96_q0.05,airtemp_96_q0.25,airtemp_96_q0.5,airtemp_96_q0.75,airtemp_96_q0.95,airtemp_96_q0.99,pressure_96_q0.01,pressure_96_q0.05,pressure_96_q0.25,pressure_96_q0.5,pressure_96_q0.75,pressure_96_q0.95,pressure_96_q0.99
2026-08-01 10:00:00+00:00,2026-08-02 11:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.556131,19.399332,20.321577,20.881556,21.441536,22.363781,23.206982,15.985536,19.762535,24.382832,27.357065,30.331299,34.9516,38.7286,1004.2501,1008.7015,1013.33527,1016.0755,1018.8158,1023.4495,1027.9009
2026-08-01 10:00:00+00:00,2026-08-02 12:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.735317,19.591978,20.531576,21.102943,21.674309,22.613909,23.47057,16.057386,20.041819,24.971746,28.163944,31.356142,36.286068,40.270508,1003.47107,1007.9696,1012.72455,1015.55963,1018.3948,1023.1497,1027.6482
2026-08-01 10:00:00+00:00,2026-08-02 13:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.80344,19.690136,20.672462,21.272982,21.8735,22.85583,23.742525,16.124582,20.213015,25.292439,28.588375,31.884312,36.963734,41.052166,1002.55273,1007.21893,1012.1037,1015.00116,1017.8986,1022.7834,1027.4496
2026-08-01 10:00:00+00:00,2026-08-02 14:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.910088,19.797947,20.794617,21.408157,22.021696,23.018368,23.906227,15.91605,20.020283,25.133263,28.455616,31.777971,36.890953,40.995186,1001.9101,1006.6257,1011.6214,1014.60364,1017.5859,1022.5816,1027.2972
2026-08-01 10:00:00+00:00,2026-08-02 15:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.946005,19.858967,20.887169,21.521204,22.155241,23.183441,24.096405,15.672275,19.724789,24.755272,28.01801,31.280746,36.311226,40.363747,1001.2108,1006.07074,1011.2149,1014.28424,1017.35364,1022.49774,1027.3578
2026-08-01 10:00:00+00:00,2026-08-02 16:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.914478,19.847738,20.911894,21.57238,22.232868,23.297024,24.230284,15.306838,19.266518,24.195303,27.396599,30.597897,35.52668,39.486362,1001.0237,1005.89905,1011.0659,1014.151,1017.236,1022.40295,1027.2783
2026-08-01 10:00:00+00:00,2026-08-02 17:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.96036,19.880713,20.933907,21.588816,22.243725,23.29692,24.217272,14.913393,18.765797,23.560438,26.6744,29.788364,34.583008,38.435413,1000.8566,1005.78894,1011.00415,1014.11426,1017.2243,1022.4395,1027.3718
2026-08-01 10:00:00+00:00,2026-08-02 18:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.912764,19.833511,20.890312,21.548494,22.206675,23.263475,24.184223,14.409015,18.201504,22.845985,25.83752,28.829058,33.473537,37.26603,1000.9218,1005.9521,1011.27356,1014.4479,1017.62225,1022.9437,1027.974
2026-08-01 10:00:00+00:00,2026-08-02 19:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.778557,19.71812,20.796223,21.467575,22.138927,23.217031,24.156595,13.992774,17.584547,21.984245,24.818462,27.652681,32.05238,35.64415,1001.28656,1006.3399,1011.69586,1014.894,1018.0921,1023.44806,1028.5015
2026-08-01 10:00:00+00:00,2026-08-02 20:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.711601,19.62741,20.68616,21.348047,22.009933,23.068684,23.984491,13.377913,16.817236,21.018927,23.721857,26.42479,30.626478,34.065804,1001.7663,1006.8149,1012.17914,1015.3865,1018.5938,1023.95807,1029.0066
2026-08-01 10:00:00+00:00,2026-08-02 21:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.541353,19.456627,20.512716,21.172274,21.831833,22.88792,23.803194,12.838261,16.135994,20.120285,22.668768,25.21725,29.201542,32.499275,1002.26483,1007.32874,1012.70575,1015.91956,1019.13336,1024.5104,1029.5742
2026-08-01 10:00:00+00:00,2026-08-02 22:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.348072,19.247562,20.286604,20.935896,21.585188,22.62423,23.52372,12.261098,15.44257,19.250713,21.674809,24.098904,27.907045,31.088518,1002.7967,1007.82025,1013.16394,1016.3609,1019.5578,1024.9015,1029.925
2026-08-01 10:00:00+00:00,2026-08-02 23:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,18.206335,19.087255,20.104408,20.73988,21.37535,22.392504,23.273426,11.750195,14.821684,18.451326,20.74649,23.041653,26.671295,29.742786,1002.8392,1007.9924,1013.44275,1016.69354,1019.9444,1025.3948,1030.548
2026-08-01 10:00:00+00:00,2026-08-03 00:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,17.973494,18.856129,19.870787,20.50324,21.135695,22.150352,23.032988,11.162023,14.260096,17.851105,20.099129,22.347153,25.938162,29.036236,1002.9445,1008.1586,1013.6679,1016.95215,1020.2363,1025.7456,1030.9598
2026-08-01 10:00:00+00:00,2026-08-03 01:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,17.82967,18.698967,19.691883,20.308708,20.925533,21.91845,22.787746,10.593294,13.72301,17.29253,19.508287,21.724047,25.293564,28.423285,1002.8403,1008.1301,1013.7117,1017.03644,1020.3612,1025.9427,1031.2325
2026-08-01 10:00:00+00:00,2026-08-03 02:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,17.712227,18.56906,19.546316,20.152948,20.759583,21.73684,22.593672,10.066425,13.213584,16.800093,19.025457,21.250822,24.83733,27.984493,1002.7758,1008.1275,1013.74316,1017.0784,1020.41376,1026.0294,1031.3811
2026-08-01 10:00:00+00:00,2026-08-03 03:00:00+00:00,live,dwd_forecast,2026-08-01 10:00:00+00:00,,legacy,17.647032,18.493517,19.447977,20.036907,20.62584,21.5803,22.426785,10.013486,13.123774,16.665264,18.861721,21.058178,24.59967,27.709959,1002.4614,1007.9287,1013.6491,1017.04126,1020.4334,1026.1538,1031.6211
