timestamp,raw_value,raw_mean,raw_min,raw_max,samples,duplicate_count,conflict
2025-04-16T13Z,11.1,11.325,,11.5,4,,
2025-04-16T14Z,11.6,11.6,,,4,,
2025-04-16T15Z,11.7,11.8,,11.9,4,,
2025-04-16T16Z,11.9,11.875,11.8,,4,,
2025-04-16T17Z,11.7,11.625,11.5,,4,,
2025-04-16T18Z,11.4,11.25,11.1,,4,,
2025-04-16T19Z,11.0,10.8,10.6,,4,,
2025-04-16T20Z,10.5,10.35,10.2,,4,,
2025-04-16T21Z,10.0,9.85,9.7,,4,,
2025-04-16T22Z,9.6,9.45,9.3,,4,,
2025-04-16T23Z,9.2,9.125,9.0,,4,,
2025-04-17T00Z,9.0,8.9,8.8,,4,,
2025-04-17T01Z,8.8,8.725,8.7,,4,,
2025-04-17T02Z,8.6,8.55,8.5,,4,,
2025-04-17T03Z,8.5,8.45,8.4,,4,,
2025-04-17T04Z,8.4,8.375,8.3,,4,,
2025-04-17T05Z,8.3,8.3,,,4,,
2025-04-17T06Z,8.3,8.3,,,4,,
2025-04-17T07Z,8.3,8.375,,8.4,4,,
2025-04-17T08Z,8.4,8.45,,8.5,4,,
2025-04-17T09Z,8.6,8.649999999999999,,8.7,4,,
2025-04-17T10Z,8.8,8.925,,9.0,4,,
2025-04-17T11Z,9.1,9.25,,9.4,4,,
2025-04-17T12Z,9.5,9.575,,9.7,4,,
2025-04-17T13Z,9.7,9.775,,9.8,4,,
2025-04-17T14Z,9.8,9.775,9.7,,4,,
2025-04-17T15Z,9.7,9.7,,,4,,
2025-04-17T16Z,9.7,9.725,,9.8,4,,
2025-04-17T17Z,9.8,9.725,9.7,,4,,
2025-04-17T18Z,9.6,9.55,9.5,,4,,
2025-04-17T19Z,9.5,9.425,9.4,,4,,
2025-04-17T20Z,9.3,9.275,9.2,,4,,
2025-04-17T21Z,9.2,9.1,9.0,,4,,
2025-04-17T22Z,9.0,8.9,8.8,,4,,
2025-04-17T23Z,8.8,8.7,8.6,,4,,
2025-04-18T00Z,8.6,8.525,8.5,,4,,
2025-04-18T01Z,8.4,8.375,8.3,,4,,
2025-04-18T02Z,8.3,8.3,,,4,,
2025-04-18T03Z,8.3,8.225,8.2,,4,,
2025-04-18T04Z,8.2,8.174999999999999,8.1,,4,,
2025-04-18T05Z,8.1,8.1,,,4,,
2025-04-18T06Z,8.1,8.1,,,4,,
2025-04-18T07Z,8.1,8.1,,,4,,
2025-04-18T08Z,8.1,8.174999999999999,,8.2,4,,
2025-04-18T09Z,8.2,8.35,,8.5,4,,
2025-04-18T10Z,8.6,8.725,,8.9,4,,
2025-04-18T11Z,9.1,9.175,,9.2,4,,
2025-04-18T12Z,9.2,9.225,,9.3,4,,
2025-04-18T13Z,9.3,9.3,,,4,,
2025-04-18T14Z,9.3,9.3,,,4,,
2025-04-18T15Z,9.3,9.375,,9.4,4,,
2025-04-18T16Z,9.4,9.475,,9.5,4,,
2025-04-18T17Z,9.4,9.375,9.3,,4,,
2025-04-18T18Z,9.2,9.1,9.0,,4,,
2025-04-18T19Z,8.9,8.850000000000001,8.8,,4,,
2025-04-18T20Z,8.7,8.7,,,4,,
2025-04-18T21Z,8.7,8.674999999999999,8.6,,4,,
2025-04-18T22Z,8.6,8.55,8.5,,4,,
2025-04-18T23Z,8.4,8.350000000000001,8.3,,4,,
2025-04-19T00Z,8.2,8.125,8.0,,4,,
2025-04-19T01Z,8.0,7.9,7.8,,4,,
2025-04-19T02Z,7.8,7.7,7.6,,4,,
2025-04-19T03Z,7.6,7.5,7.4,,4,,
2025-04-19T04Z,7.4,7.325,7.3,,4,,
2025-04-19T05Z,7.2,7.2,,,4,,
2025-04-19T06Z,7.2,7.25,,7.3,4,,
2025-04-19T07Z,7.4,7.6,,7.8,4,,
2025-04-19T08Z,7.9,8.075,,8.3,4,,
2025-04-19T09Z,8.5,8.8,,9.1,4,,
2025-04-19T10Z,9.3,9.675,,10.0,4,,
2025-04-19T11Z,10.3,10.6,,10.9,4,,
2025-04-19T12Z,11.1,11.4,,11.7,4,,
2025-04-19T13Z,11.9,12.1,,12.3,4,,
2025-04-19T14Z,12.4,12.55,,12.7,4,,
2025-04-19T15Z,12.7,12.775,,12.8,4,,
2025-04-19T16Z,12.8,12.65,12.5,,4,,
2025-04-19T17Z,12.4,12.275,12.1,,4,,
2025-04-19T18Z,12.0,11.775,11.6,,4,,
2025-04-19T19Z,11.5,11.35,11.2,,4,,
2025-04-19T20Z,11.0,10.825,10.6,,4,,
2025-04-19T21Z,10.5,10.325,10.1,,4,,
2025-04-19T22Z,10.0,9.8,9.6,,4,,
2025-04-19T23Z,9.5,9.325,9.1,,4,,
2025-04-20T00Z,9.0,8.85,8.7,,4,,
2025-04-20T01Z,8.6,8.45,8.3,,4,,
2025-04-20T02Z,8.3,8.175,8.1,,4,,
2025-04-20T03Z,8.1,8.025,8.0,,4,,
2025-04-20T04Z,7.9,7.9,,,4,,
2025-04-20T05Z,7.8,7.825,,7.9,4,,
2025-04-20T06Z,7.9,7.975,,8.1,4,,
2025-04-20T07Z,8.2,8.275,,8.4,4,,
2025-04-20T08Z,8.5,8.625,,8.8,4,,
2025-04-20T09Z,9.0,9.225,,9.5,4,,
2025-04-20T10Z,9.8,10.025,,10.3,4,,
2025-04-20T11Z,10.5,10.8,,11.1,4,,
2025-04-20T12Z,11.2,11.375,,11.5,4,,
2025-04-20T13Z,11.6,11.75,,11.9,4,,
2025-04-20T14Z,11.9,12.025,,12.1,4,,
2025-04-20T15Z,12.1,12.1,,,4,,
2025-04-20T16Z,12.0,11.925,11.8,,4,,
2025-04-20T17Z,11.7,11.55,11.4,,4,,
2025-04-20T18Z,11.3,11.15,11.0,,4,,
2025-04-20T19Z,10.9,10.75,10.6,,4,,
2025-04-20T20Z,10.5,10.275,10.1,,4,,
2025-04-20T21Z,10.0,9.775,9.6,,4,,
2025-04-20T22Z,9.5,9.35,9.2,,4,,
2025-04-20T23Z,9.1,9.025,8.9,,4,,
2025-04-21T00Z,8.9,8.8,8.7,,4,,
2025-04-21T01Z,8.7,8.6,8.5,,4,,
2025-04-21T02Z,8.5,8.45,8.4,,4,,
2025-04-21T03Z,8.4,8.325000000000001,8.3,,4,,
2025-04-21T04Z,8.2,8.2,,,4,,
2025-04-21T05Z,8.2,8.2,,,4,,
2025-04-21T06Z,8.2,8.225,,8.3,4,,
2025-04-21T07Z,8.3,8.375,,8.5,4,,
2025-04-21T08Z,8.6,8.75,,8.9,4,,
2025-04-21T09Z,9.0,9.075,,9.2,4,,
2025-04-21T10Z,9.3,9.45,,9.6,4,,
2025-04-21T11Z,9.7,9.85,,10.0,4,,
2025-04-21T12Z,10.1,10.25,,10.4,4,,
2025-04-21T13Z,10.5,10.65,,10.8,4,,
2025-04-21T14Z,10.8,10.9,,11.0,4,,
2025-04-21T15Z,11.1,11.125,,11.2,4,,
2025-04-21T16Z,11.1,10.975,10.9,,4,,
2025-04-21T17Z,10.8,10.7,10.6,,4,,
