,wassertemp_q0.01,wassertemp_q0.05,wassertemp_q0.25,wassertemp_q0.5,wassertemp_q0.75,wassertemp_q0.95,wassertemp_q0.99,airtemp_96_q0.01,airtemp_96_q0.05,airtemp_96_q0.25,airtemp_96_q0.5,airtemp_96_q0.75,airtemp_96_q0.95,airtemp_96_q0.99,pressure_96_q0.01,pressure_96_q0.05,pressure_96_q0.25,pressure_96_q0.5,pressure_96_q0.75,pressure_96_q0.95,pressure_96_q0.99
2026-05-04 08:00:00+00:00,11.245714,12.023914,12.910282,13.460105,14.009928,14.896296,15.674496,0.9120016,5.096202,10.26208,13.6033325,16.944584,22.110462,26.294668,995.3243,1002.67914,1010.44275,1015.0684,1019.6941,1027.4578,1034.8126
2026-05-04 09:00:00+00:00,11.359551,12.1320715,13.011119,13.556124,14.101129,14.980175,15.752695,1.3739042,5.9078937,11.519765,15.154184,18.788605,24.400475,28.934467,995.11914,1002.42377,1010.136,1014.73145,1019.3269,1027.0391,1034.3438
2026-05-04 10:00:00+00:00,11.48557,12.2464075,13.112307,13.649207,14.186108,15.052008,15.812845,2.2013817,6.8402677,12.6737585,16.48252,20.29128,26.124771,30.763657,994.7733,1002.1664,1009.8947,1014.47534,1019.0559,1026.7842,1034.1772
2026-05-04 11:00:00+00:00,11.498247,12.286797,13.182956,13.738203,14.293451,15.18961,15.978161,2.7122278,7.5860453,13.711392,17.709515,21.707636,27.832981,32.706802,994.14844,1001.5595,1009.38995,1014.0578,1018.72565,1026.556,1033.9672
2026-05-04 12:00:00+00:00,11.672124,12.450156,13.342097,13.897259,14.452419,15.34436,16.122395,3.1368418,8.15119,14.492776,18.645308,22.797838,29.139423,34.15377,993.9104,1001.2505,1009.0814,1013.7738,1018.46625,1026.2972,1033.6373
2026-05-04 13:00:00+00:00,11.735323,12.534046,13.447846,14.016008,14.58417,15.497971,16.296694,3.2469978,8.431295,15.0002985,19.305937,23.611576,30.18058,35.364876,993.28143,1000.8292,1008.7455,1013.4458,1018.1462,1026.0625,1033.6102
2026-05-04 14:00:00+00:00,11.819026,12.63266,13.561895,14.139126,14.716356,15.645591,16.459227,3.1326208,8.408498,15.086706,19.46164,23.83657,30.514778,35.790657,992.81445,1000.47595,1008.52606,1013.31055,1018.09503,1026.1451,1033.8066
2026-05-04 15:00:00+00:00,11.901699,12.718395,13.64962,14.227596,14.805573,15.736797,16.553493,3.020028,8.256941,14.868449,19.193865,23.51928,30.13079,35.367702,992.5507,1000.13586,1008.24023,1013.1003,1017.9603,1026.0647,1033.6499
2026-05-04 16:00:00+00:00,11.93161,12.757899,13.709122,14.302471,14.895822,15.847044,16.673332,2.5988646,7.736276,14.224742,18.47052,22.7163,29.204765,34.34218,992.56305,1000.16766,1008.29047,1013.1608,1018.03125,1026.154,1033.7587
2026-05-04 17:00:00+00:00,11.874667,12.727764,13.7057705,14.314505,14.92324,15.901246,16.754345,2.2826004,7.2395062,13.486075,17.56894,21.651802,27.89837,32.85528,992.6056,1000.1927,1008.3201,1013.2007,1018.0813,1026.2087,1033.7958
